DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
2021-11-25 12:45:00,2021-11-25,12:45:00,3,3,1,0.154
2021-11-25 13:00:00,2021-11-25,13:00:00,3,3,1,0.131
2021-11-25 13:15:00,2021-11-25,13:15:00,3,3,1,0.1305
2021-11-25 13:30:00,2021-11-25,13:30:00,3,3,1,0.13
2021-11-25 13:45:00,2021-11-25,13:45:00,3,3,1,0.1245
2021-11-25 14:00:00,2021-11-25,14:00:00,3,3,1,0.119
2021-11-25 14:15:00,2021-11-25,14:15:00,3,3,1,0.121
2021-11-25 14:30:00,2021-11-25,14:30:00,3,3,1,0.123
2021-11-25 14:45:00,2021-11-25,14:45:00,3,3,1,0.1785
2021-11-25 15:00:00,2021-11-25,15:00:00,3,3,1,0.234
2021-11-25 15:15:00,2021-11-25,15:15:00,3,3,1,0.194
2021-11-25 15:30:00,2021-11-25,15:30:00,3,3,1,0.154
2021-11-25 15:45:00,2021-11-25,15:45:00,3,3,1,0.15
2021-11-25 16:00:00,2021-11-25,16:00:00,3,3,1,0.146
2021-11-25 16:15:00,2021-11-25,16:15:00,3,3,1,0.1565
2021-11-25 16:30:00,2021-11-25,16:30:00,3,3,1,0.167
2021-11-25 16:45:00,2021-11-25,16:45:00,3,3,1,0.2155
2021-11-25 17:00:00,2021-11-25,17:00:00,3,3,1,0.264
2021-11-25 17:15:00,2021-11-25,17:15:00,3,3,1,0.2435
2021-11-25 17:30:00,2021-11-25,17:30:00,3,3,0,0.223
2021-11-25 17:45:00,2021-11-25,17:45:00,3,3,0,0.242
2021-11-25 18:00:00,2021-11-25,18:00:00,3,3,0,0.261
2021-11-25 18:15:00,2021-11-25,18:15:00,3,3,0,0.3405
2021-11-25 18:30:00,2021-11-25,18:30:00,3,3,0,0.42
2021-11-25 18:45:00,2021-11-25,18:45:00,3,3,0,0.383
2021-11-25 19:00:00,2021-11-25,19:00:00,3,3,0,0.346
2021-11-25 19:15:00,2021-11-25,19:15:00,3,3,0,0.3409999999999999
2021-11-25 19:30:00,2021-11-25,19:30:00,3,3,0,0.336
2021-11-25 19:45:00,2021-11-25,19:45:00,3,3,0,0.3335
2021-11-25 20:00:00,2021-11-25,20:00:00,3,3,0,0.331
2021-11-25 20:15:00,2021-11-25,20:15:00,3,3,0,0.3795
2021-11-25 20:30:00,2021-11-25,20:30:00,3,3,0,0.428
2021-11-25 20:45:00,2021-11-25,20:45:00,3,3,0,0.4895
2021-11-25 21:00:00,2021-11-25,21:00:00,3,3,0,0.551
2021-11-25 21:15:00,2021-11-25,21:15:00,3,3,0,0.42
2021-11-25 21:30:00,2021-11-25,21:30:00,3,3,0,0.289
2021-11-25 21:45:00,2021-11-25,21:45:00,3,3,0,0.297
2021-11-25 22:00:00,2021-11-25,22:00:00,3,3,0,0.305
2021-11-25 22:15:00,2021-11-25,22:15:00,3,3,0,0.287
2021-11-25 22:30:00,2021-11-25,22:30:00,3,3,0,0.269
2021-11-25 22:45:00,2021-11-25,22:45:00,3,3,0,0.2645
2021-11-25 23:00:00,2021-11-25,23:00:00,3,3,0,0.26
2021-11-25 23:15:00,2021-11-25,23:15:00,3,3,0,0.274
2021-11-25 23:30:00,2021-11-25,23:30:00,3,3,0,0.288
2021-11-25 23:45:00,2021-11-25,23:45:00,3,3,0,0.3834999999999999
2021-11-26 00:00:00,2021-11-26,00:00:00,4,3,0,0.479
2021-11-26 00:15:00,2021-11-26,00:15:00,4,3,0,0.427
2021-11-26 00:30:00,2021-11-26,00:30:00,4,3,0,0.375
2021-11-26 00:45:00,2021-11-26,00:45:00,4,3,0,0.3455
2021-11-26 01:00:00,2021-11-26,01:00:00,4,3,0,0.316
2021-11-26 01:15:00,2021-11-26,01:15:00,4,3,0,0.2995
2021-11-26 01:30:00,2021-11-26,01:30:00,4,3,0,0.283
2021-11-26 01:45:00,2021-11-26,01:45:00,4,3,0,0.3155
2021-11-26 02:00:00,2021-11-26,02:00:00,4,3,0,0.348
2021-11-26 02:15:00,2021-11-26,02:15:00,4,3,0,0.4525
2021-11-26 02:30:00,2021-11-26,02:30:00,4,3,0,0.557
2021-11-26 02:45:00,2021-11-26,02:45:00,4,3,0,0.371
2021-11-26 03:00:00,2021-11-26,03:00:00,4,3,0,0.185
2021-11-26 03:15:00,2021-11-26,03:15:00,4,3,0,0.161
2021-11-26 03:30:00,2021-11-26,03:30:00,4,3,0,0.137
2021-11-26 03:45:00,2021-11-26,03:45:00,4,3,0,0.132
2021-11-26 04:00:00,2021-11-26,04:00:00,4,3,0,0.127
2021-11-26 04:15:00,2021-11-26,04:15:00,4,3,0,0.1325
2021-11-26 04:30:00,2021-11-26,04:30:00,4,3,0,0.138
2021-11-26 04:45:00,2021-11-26,04:45:00,4,3,0,0.212
2021-11-26 05:00:00,2021-11-26,05:00:00,4,3,0,0.286
2021-11-26 05:15:00,2021-11-26,05:15:00,4,3,0,0.2125
2021-11-26 05:30:00,2021-11-26,05:30:00,4,3,0,0.139
2021-11-26 05:45:00,2021-11-26,05:45:00,4,3,0,0.137
2021-11-26 06:00:00,2021-11-26,06:00:00,4,3,0,0.135
2021-11-26 06:15:00,2021-11-26,06:15:00,4,3,0,0.1315
2021-11-26 06:30:00,2021-11-26,06:30:00,4,3,0,0.128
